transaction_id,user_id_from,user_id_to,date,value
42,532,1666,2013-02-17 17:20:42,0.1
42,532,9,2013-02-17 17:20:42,2.0
42,532,5314,2013-02-17 17:20:42,0.1
42,532,3888,2013-02-17 17:20:42,0.1
42,532,36220,2013-02-17 17:20:42,2.0
42,532,11,2013-02-17 17:20:42,0.1
42,532,23031,2013-02-17 17:20:42,0.1
42,532,462,2013-02-17 17:20:42,0.5
42,532,29,2013-02-17 17:20:42,0.1
42,532,463,2013-02-17 17:20:42,50.0
43,532,203400,2013-01-14 00:25:45,1.0
43,532,21657,2013-01-14 00:25:45,0.1
43,532,10163,2013-01-14 00:25:45,0.2
43,532,889524,2013-01-14 00:25:45,1.0
43,532,11,2013-01-14 00:25:45,15.0
