"field_name",count
"Prop_DevnodeId",180
"Prop_Event_Window_Seconds",210
"Prop_PropertyCount",3548
"Prop_RetryCycleCount",64
"Prop_Seconds",48
"Prop_TaskCount",3548
"Prop_UnicodeString",120
"Prop_UpTime_Seconds",206
"Prop_WorkTime_MilliSeconds",3754
PropertyKey,16
PropertyKeyGuid,980
PropertyKeyPid,980
Protocol,350702
ProtocolHostProcessID,2
ProtocolType,56
ProviderGuid,34
ProviderName,35930
ProxyHostName,8008
PuaCount,116
PuaPolicyId,116
QfeVersion,156
Query,8132
QueryName,6146
QueryResults,6046
QueryStatus,6046
QueueDepth,1124
QueuedTaskInstanceId,874
QueuedTileCleanups,6
QueuedTileCloses,6
"RB_CacheHitBytes",388
"RB_CacheHitCount",388
"RB_CacheHitPercentage",388
"RB_Flags",182
"RB_IoReadBytes",388
"RB_IoReadCount",388
"RB_PostSyncPhasePendCount",182
"RB_PrefetchBytes",388
"RB_PrefetchDiskTimeUs",388
"RB_PrefetchReadCount",388
"RB_SyncPhaseDurationUs",182
"RB_SyncPrefetchIoBytes",182
"RB_SyncPrefetchIoCount",182
RDATA,1530
ReadWriteLatencyBucket1,200
ReadWriteLatencyBucket2,200
ReadWriteLatencyBucket3,200
ReadWriteLatencyBucket4,200
ReadWriteLatencyBucket5,200
ReadWriteLatencyBucket6,200
ReadWriteLatencyBucket7,200
Reason,3528
ReasonCode,196
ReasonForSyncProcessing,2554
ReasonString,18
RefId,2
ReferenceString,320
RefreshTriggerSource,220
RegistryKey,3016
RegistryKeyName,14
RemoteAddresses,2892
RemoteEventLogging,44
RemotePorts,676
"Removal Reason Index",114
"Removal Reason Value",114
ReplicationScope,14
"RequestDuration_ms",1124
RequestStatus,248
RequestType,12
ResiliencyFilePath,1066
ResolutionExpirationDate,542
ResolutionId,542
ResolutionSID,542
ResolutionSessionId,542
ResourceURI,248
RestrictedAdminMode,12692
Result,14278
ResultCode,26692
ResultsReturned,474
ResumeAt,74
ResumeEndTime,8
ResumeStartTime,8
RetryMinutes,96
ReturnCode,35992
ReturnValue,772
RootCauseCount,32
RuleId,4180
RuleName,618836
RuleStatus,2892
RunningMode,28
RunningTaskInstanceId,120
SID,1792
SPIAction,40
SQL,43762
SamAccountName,3136
SaveToCacheTimeElapsedInMilliseconds,594
"Scan ID",268
"Scan Parameters",268
"Scan Parameters Index",268
"Scan Time Hours",110
"Scan Time Minutes",110
"Scan Time Seconds",110
"Scan Type",268
"Scan Type Index",268
Scenario,546
ScenarioId,9468
SchemaType,50
SchemaVersion,2984
Scope,48
ScriptBlockId,5256
ScriptBlockText,5120
ScriptElaspedTimeInSeconds,54
ScriptPath,1454
ScriptType,114
ScsiStatus,1124
SecondsSinceLastSentPacket,12
SecurityOptions,2892
SecurityStatus,48
SenseKey,1124
SensorAdapter,804
SensorMode,804
